Gene Number: 0, Gene Name: 4732440D04Rik
Gene Number: 1, Gene Name: Prex2
Gene Number: 2, Gene Name: Mcm3
Gene Number: 3, Gene Name: Tram2
Gene Number: 4, Gene Name: Gsta3
Gene Number: 5, Gene Name: Rab23
Gene Number: 6, Gene Name: Zap70
Gene Number: 7, Gene Name: Il1r2
Gene Number: 8, Gene Name: Il1rl1
Gene Number: 9, Gene Name: Slc40a1
Gene Number: 10, Gene Name: Sdpr
Gene Number: 11, Gene Name: Nabp1
Gene Number: 12, Gene Name: Hecw2
Gene Number: 13, Gene Name: Plcl1
Gene Number: 14, Gene Name: Cd28
Gene Number: 15, Gene Name: Icos
Gene Number: 16, Gene Name: Nrp2
Gene Number: 17, Gene Name: Adam23
Gene Number: 18, Gene Name: Klf7
Gene Number: 19, Gene Name: Fzd5
Gene Number: 20, Gene Name: Cps1
Gene Number: 21, Gene Name: Ikzf2
Gene Number: 22, Gene Name: Fn1
Gene Number: 23, Gene Name: Pecr
Gene Number: 24, Gene Name: Igfbp5
