gene_id,highly_variable
AL627309.1,False
AL669831.5,False
LINC00115,False
FAM41C,False
AL645608.3,False
AL645608.1,False
SAMD11,False
NOC2L,False
KLHL17,False
PLEKHN1,False
PERM1,False
AL645608.8,False
HES4,False
ISG15,False
AGRN,False
C1orf159,False
AL390719.2,False
TTLL10,False
TNFRSF18,False
TNFRSF4,False
SDF4,False
B3GALT6,False
C1QTNF12,False
UBE2J2,True
SCNN1D,False
ACAP3,False
PUSL1,False
INTS11,False
CPTP,False
TAS1R3,False
DVL1,False
MXRA8,False
AURKAIP1,False
CCNL2,False
MRPL20,False
AL391244.3,False
ANKRD65,False
LINC01770,False
VWA1,False
ATAD3C,False
ATAD3B,False
ATAD3A,False
SSU72,False
AL645728.1,False
FNDC10,False
AL691432.2,False
MIB2,False
MMP23B,True
CDK11B,True
FO704657.1,False
SLC35E2B,False
CDK11A,True
SLC35E2A,False
NADK,False
GNB1,True
AL109917.1,False
CALML6,False
TMEM52,False
CFAP74,False
GABRD,False
AL391845.1,False
PRKCZ,False
AL590822.2,False
PRKCZ-AS1,False
FAAP20,False
AL590822.1,False
SKI,False
MORN1,False
RER1,False
PEX10,False
PLCH2,False
PANK4,False
HES5,False
AL139246.5,False
TNFRSF14-AS1,False
TNFRSF14,False
AL139246.3,False
FAM213B,False
MMEL1,False
TTC34,False
LINC00982,False
PRDM16,False
ARHGEF16,False
MEGF6,False
AL513320.1,False
TPRG1L,False
WRAP73,False
TP73,False
SMIM1,True
LRRC47,False
CEP104,True
DFFB,False
C1orf174,False
LINC01134,False
AL805961.2,False
AJAP1,False
NPHP4,False
KCNAB2,False
CHD5,False
RPL22,False
AL031847.1,False
RNF207,False
ICMT,False
LINC00337,False
GPR153,False
ACOT7,False
AL031848.2,False
HES2,False
ESPN,False
TNFRSF25,False
PLEKHG5,False
NOL9,False
TAS1R1,False
ZBTB48,False
KLHL21,False
PHF13,False
THAP3,False
DNAJC11,True
LINC01672,False
CAMTA1-DT,False
CAMTA1,False
VAMP3,False
PER3,True
Z98884.1,False
UTS2,False
TNFRSF9,False
PARK7,False
AL034417.4,False
AL034417.3,False
ERRFI1,False
AL034417.2,False
LINC01714,False
SLC45A1,False
RERE,False
AL096855.1,False
ENO1,False
ENO1-AS1,False
SLC2A5,False
GPR157,False
MIR34AHG,False
LINC01759,False
H6PD,True
SPSB1,True
BX323043.1,False
AL928921.2,False
SLC25A33,True
TMEM201,False
PIK3CD,False
PIK3CD-AS2,False
CLSTN1,False
CTNNBIP1,False
LZIC,False
NMNAT1,False
RBP7,False
UBE4B,False
KIF1B,False
AL139424.3,False
AL139424.2,False
PGD,True
CENPS,False
DFFA,False
PEX14,False
CASZ1,False
C1orf127,False
TARDBP,False
MASP2,False
AL109811.3,False
SRM,False
EXOSC10,False
AL109811.1,False
AL109811.2,False
MTOR,False
ANGPTL7,False
UBIAD1,False
AL031731.1,False
FBXO2,True
FBXO44,False
FBXO6,True
MAD2L2,False
DRAXIN,False
AGTRAP,False
C1orf167,False
MTHFR,False
CLCN6,True
NPPA-AS1,False
KIAA2013,False
PLOD1,False
MFN2,True
MIIP,False
TNFRSF8,False
TNFRSF1B,False
VPS13D,False
AC243836.1,False
DHRS3,True
AC254633.1,False
PDPN,False
PRDM2,False
KAZN,False
TMEM51-AS1,False
TMEM51,False
FHAD1,False
AL031283.1,False
EFHD2,False
CASP9,False
DNAJC16,False
AL121992.3,False
AGMAT,True
DDI2,False
PLEKHM2,False
AL450998.3,False
SLC25A34,False
TMEM82,True
FBLIM1,False
UQCRHL,False
AL450998.2,False
SPEN,False
ZBTB17,False
FAM131C,False
EPHA2,False
AL451042.1,False
ARHGEF19,False
CPLANE2,False
FBXO42,False
SZRD1,True
SPATA21,False
NECAP2,False
LINC01772,False
AL137802.2,False
AL137802.1,False
NBPF1,False
CROCC,False
BX284668.5,False
BX284668.6,False
ATP13A2,False
SDHB,False
PADI2,False
PADI4,False
RCC2,False
ARHGEF10L,False
ACTL8,False
IGSF21,False
KLHDC7A,False
ALDH4A1,True
IFFO2,False
UBR4,False
AL035413.1,False
EMC1,True
MRTO4,False
AKR7A3,True
AKR7A2,False
PQLC2,False
CAPZB,False
MINOS1,False
NBL1,False
TMCO4,False
RNF186,False
OTUD3,False
