PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34
-5.4830184,-4.586652,-0.2611129,-3.611581,-1.6319675,-5.11029,-2.3441231,-0.951364,-9.16125,4.929096,-3.2097802,-2.6517365,0.689328,1.5007912,-3.0965977,-4.125669,3.0966668,-1.2160484,-0.003304742,-2.3122537,2.8643272,1.0459143,-1.4307477,-6.0166636,1.6254556,-3.2052286,-0.50170314,-5.7530146,-7.953164,-0.43546954,-4.8468003,0.35257947,6.612785e-15,3.7578337e-15
-4.659883,-5.274722,-0.42097953,-4.560738,-1.1542385,-5.5003633,-2.0955396,-1.1991847,-11.32769,6.0530014,-2.4780614,-2.7263358,0.64604867,1.1379929,-2.605205,-3.393716,2.038351,-0.49970767,1.5550606,-3.8022366,1.3043901,1.0336666,1.1603391,-4.66657,2.1437879,-6.3542147,2.1069713,-0.813313,-1.6478736,0.7981747,8.27185,-3.1084158,1.2630698e-15,4.0223697e-15
-0.19745606,-1.0897583,-1.6294488,-3.0757513,0.19943617,-0.2144248,0.3112824,-3.9398766,-8.1693535,-3.674396,-6.3936844,0.43307498,0.33540887,-1.2564836,0.9161409,-1.3890043,0.6585443,-2.7479882,-0.79206234,-4.581131,-2.5826225,-2.274238,6.9315,3.124945,-1.74341,-2.5508761,11.9777775,0.7676851,0.52763844,-3.5347276,-1.8471311,0.03341904,-1.9953899e-14,1.9687461e-16
-5.000811,-4.2551804,6.2904625,-29.771156,-37.95634,45.20461,1.7016875,-1.5641191,8.133906,-6.763916,-6.2271895,2.911665,0.2710136,-1.6353469,0.35480165,0.4848715,-0.3859359,-1.1744136,-0.3142119,-0.4297193,-0.79860115,-0.9560919,-0.29701152,0.4140064,-0.2688145,0.3614759,-0.15930013,0.034004383,-0.104404144,0.05989802,-0.013654841,0.018054029,-2.2748874e-15,4.6988462e-15
-5.7231636,-4.7403975,-0.7644617,-3.2893224,-1.2858053,-3.9969919,-2.2526586,-0.71436095,-9.421838,4.6878805,-4.1119156,-3.0372353,2.3591256,2.1699617,-3.7406023,-5.433485,4.780052,-1.5728782,-0.43125764,0.20731157,2.6405716,2.8311977,-4.8393455,-8.461028,2.65022,14.703515,3.8586261,2.1882346,0.96545243,0.9854263,0.324209,0.38033774,9.6628765e-15,3.560256e-15
-0.38566387,-2.985356,-1.345451,-5.9253473,0.9092304,-3.2027984,-0.27209422,-5.758339,-18.454287,0.0039050973,-13.274161,-2.9949636,5.959,-2.1532183,10.345991,16.137259,-11.435717,10.10559,-3.9876518,16.067526,-2.3799691,-2.5680315,-3.6767833,-5.2388973,0.94789237,-0.42012748,-0.630512,-0.10053612,-0.007809587,0.14801285,-0.0026131258,-0.007863738,-1.7687767e-14,1.2613457e-15
-0.48221177,1.0500733,-2.5100794,2.8146913,-0.95768553,2.2626638,1.0266522,-1.8167502,5.1014113,-7.7395234,6.9876647,-2.762101,-4.5079513,-5.1636887,-6.139944,19.732176,23.405,9.728359,9.019178,-2.9934273,-1.1847194,3.2450655,-3.2089763,-2.0824776,0.59690213,-0.67155665,0.15410064,0.008829557,0.066092975,-0.0030681812,-0.00813649,0.012828092,-1.0013768e-14,1.0688946e-15
-2.365818,-2.8831677,0.11325841,0.70844483,2.8294425,-2.2792,-3.4530253,2.9234252,3.6245382,6.4367785,-2.0226338,2.2537968,1.2259951,-4.655422,6.7259355,10.498264,-10.457995,8.733721,6.2153416,-10.368905,1.135746,7.07355,17.362614,1.6925602,-0.61192113,2.86583,-0.7226721,0.087151036,-0.32427958,-0.025302274,-0.19259594,0.03931988,2.3583825e-14,4.6986345e-15
-1.9661052,-4.252375,-0.3345083,-4.5317216,-1.6274004,-3.7512364,-1.2431004,-1.1643978,-13.299566,5.7893186,24.918402,37.010967,5.2748623,-2.725919,2.4454687,1.6599727,1.1042039,-1.94733,-2.487492,1.2708169,1.2094747,-0.76013505,-0.36300182,-0.22922371,0.083816454,0.5061581,-0.092110194,-0.009290083,0.028417874,-0.023532325,-0.15039524,0.046734776,-9.2560965e-15,2.8154236e-15
-4.47234,-4.756053,2.5195234,-0.5070343,-0.543847,-5.7870584,1.5436785,2.3861017,-5.3490887,8.6691,11.106132,-12.611763,-22.218,-5.6207457,13.436085,9.025143,1.471289,-17.326035,-4.8468018,-0.21314988,-3.7088392,-3.852658,-0.8250678,1.6942145,-1.1505224,1.3446549,-0.21097282,0.09565089,-0.10231901,0.058621388,-0.09059391,-0.030156573,-4.311407e-16,4.3379247e-15
